question_num,topics
059,insurance payments: deductible|(continuous) uniform distribution|e/var/sd of loss and payment r.v.
060,poisson distribution|e/var/sd of loss and payment r.v.|insurance payments: benefit limits
061,insurance payments: benefit limits|mode; median; percentiles
062,exponential distribution
063,exponential distribution|insurance payments: deductible|mode; median; percentiles
064,order statistics (joint distribution)|expected value; moments
065,clt approximations for sums/linear combinations|expected value; moments|variance; standard deviation
066,normal distribution|linear combinations of independent normal r.v.’s
067,poisson distribution|clt approximations for sums/linear combinations
068,normal distribution|linear combinations of independent normal r.v.’s
069,clt approximations for sums/linear combinations|expected value; moments|variance; standard deviation
070,exponential distribution|clt approximations for sums/linear combinations|expected value; moments
071,clt approximations for sums/linear combinations|expected value; moments|variance; standard deviation
072,(continuous) uniform distribution|clt approximations for sums/linear combinations
073,exponential distribution|independent events
074,binomial distribution|linear combinations of independent discrete r.v.’s|expected value; moments
075,covariance|variance; standard deviation
076,marginal distributions (discrete)|joint pmf; joint cdf (discrete)|variance; standard deviation
077,variance; standard deviation
078,exponential distribution|variance; standard deviation
079,exponential distribution|random variables (discrete vs continuous)
080,covariance|expected value; moments|variance; standard deviation
081,conditional probability|expected value; moments
082,conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
083,conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
084,conditional distributions (discrete)|law of total probability|expected value; moments
085,random variables (discrete vs continuous)|pmf; pdf
086,(continuous) uniform distribution|insurance payments: deductible|clt approximations for sums/linear combinations
087,venn diagrams|mutually exclusive events|sample space and events
088,exponential distribution|insurance payments: deductible|insurance payments: coinsurance
089,conditional distributions (discrete)|moments of joint/marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
090,hypergeometric distribution|counting: combinations
091,cdf|expected value; moments
092,sample space and events|mutually exclusive events|addition rule; multiplication rule
093,poisson distribution|conditional distributions (discrete)|moments of joint/marginal/conditional (discrete)
094,geometric distribution|conditional distributions (discrete)|expected value; moments
095,conditional probability|expected value; moments
096,negative binomial distribution|mode; median; percentiles
097,counting: combinations|counting: permutations
098,expected value; moments
099,sample space and events|venn diagrams|addition rule; multiplication rule
100,venn diagrams|set functions; axioms of probability
101,exponential distribution|insurance payments: deductible|e/var/sd of loss and payment r.v.
102,poisson distribution|e/var/sd of loss and payment r.v.
103,binomial distribution|e/var/sd of loss and payment r.v.
104,insurance payments: deductible|exponential distribution|mode; median; percentiles
105,hypergeometric distribution|counting: combinations
106,geometric distribution|independent events
107,poisson distribution|expected value; moments|variance; standard deviation
108,sample space and events|set functions; axioms of probability
109,(continuous) uniform distribution|expected value; moments
110,conditional probability|law of total probability
111,random variables (discrete vs continuous)|expected value; moments|pmf; pdf
112,cdf|random variables (discrete vs continuous)|expected value; moments
113,random variables (discrete vs continuous)|pmf; pdf
114,covariance|variance; standard deviation
115,exponential distribution|insurance payments: deductible|insurance payments: benefit limits
116,binomial distribution|normal distribution|clt approximations for sums/linear combinations
117,poisson distribution|pmf; pdf
118,loss r.v. vs payment r.v. (limited loss)|e/var/sd of loss and payment r.v.
119,cdf|pmf; pdf
120,sample space and events|independent events
121,conditional probability|law of total probability
122,hypergeometric distribution|counting: combinations
123,law of total probability|(continuous) uniform distribution|conditional distributions (discrete)
124,poisson distribution
125,binomial distribution|independent events
126,conditional probability|cdf|normal distribution
127,conditional probability|addition rule; multiplication rule
128,hypergeometric distribution
129,expected value; moments|pmf; pdf|variance; standard deviation
130,addition rule; multiplication rule
131,insurance payments: benefit limits|cdf
132,conditional probability|bayes theorem
133,conditional probability|law of total probability|bayes theorem
134,sample space and events|independent events
135,bayes theorem|conditional probability
136,normal distribution|binomial distribution|clt approximations for sums/linear combinations
137,poisson distribution|cdf
138,conditional probability|sample space and events
139,normal distribution|mode; median; percentiles
140,linear combinations of independent normal r.v.’s|normal distribution
141,(continuous) uniform distribution|insurance payments: deductible
142,exponential distribution|pmf; pdf
143,mode; median; percentiles|pmf; pdf
144,mode; median; percentiles|pmf; pdf
145,geometric distribution|independent events
146,negative binomial distribution|conditional probability
147,sample space and events|set functions; axioms of probability
148,exponential distribution
149,hypergeometric distribution|negative binomial distribution
150,bayes theorem|(discrete) uniform distribution|conditional probability
151,conditional probability|bayes theorem|law of total probability
152,(continuous) uniform distribution|insurance payments: deductible|e/var/sd of loss and payment r.v.
153,sample space and events|set functions; axioms of probability
154,law of total probability|conditional probability|bayes theorem
155,insurance payments: deductible|e/var/sd of loss and payment r.v.|expected value; moments
156,hypergeometric distribution|counting: combinations
157,hypergeometric distribution|counting: combinations
158,poisson distribution
159,poisson distribution
160,exponential distribution|insurance payments: deductible
161,cdf|pmf; pdf
162,poisson distribution|e/var/sd of loss and payment r.v.
163,(continuous) uniform distribution|insurance payments: deductible
164,normal distribution|mode; median; percentiles
165,normal distribution|mode; median; percentiles
166,conditional probability|pmf; pdf|variance; standard deviation
167,normal distribution|coefficient of variation
168,normal distribution|linear combinations of independent normal r.v.’s
169,expected value; moments|joint pmf; joint cdf (discrete)
170,hypergeometric distribution|expected value; moments
171,joint pmf; joint cdf (discrete)|variance; standard deviation
172,binomial distribution|bayes theorem
173,conditional distributions (discrete)|joint pmf; joint cdf (discrete)
174,pmf; pdf|variance; standard deviation
175,linear combinations of independent normal r.v.’s|normal distribution|expected value; moments
176,linear combinations of independent discrete r.v.’s|mode; median; percentiles|pmf; pdf
177,bernoulli distribution|e/var/sd of loss and payment r.v.
178,binomial distribution|conditional probability|expected value; moments
179,order statistics (joint distribution)|counting: combinations|pmf; pdf
180,normal distribution|conditional probability
181,insurance payments: deductible|(continuous) uniform distribution|mode; median; percentiles
182,venn diagrams|addition rule; multiplication rule|set functions; axioms of probability
183,venn diagrams|addition rule; multiplication rule|set functions; axioms of probability
184,venn diagrams|set functions; axioms of probability
185,counting: combinations|counting: permutations
186,conditional probability|hypergeometric distribution|bayes theorem
187,independent events|law of total probability|addition rule; multiplication rule
188,independent events|addition rule; multiplication rule
189,binomial distribution
190,binomial distribution
191,independent events|addition rule; multiplication rule
192,mutually exclusive events|sample space and events|addition rule; multiplication rule
193,counting: permutations|sample space and events
194,conditional probability
195,conditional probability|addition rule; multiplication rule
196,counting: combinations|hypergeometric distribution
197,counting: permutations|sample space and events|addition rule; multiplication rule
198,bayes theorem|conditional probability|law of total probability
199,bayes theorem|conditional probability|law of total probability
200,poisson distribution
201,bernoulli distribution|geometric distribution|independent events
202,geometric distribution
203,order statistics (joint distribution)|counting: combinations
204,exponential distribution
205,exponential distribution|conditional probability
206,normal distribution|cdf
207,cdf|random variables (discrete vs continuous)
208,exponential distribution|expected value; moments
209,conditional probability|pmf; pdf
210,independent events|addition rule; multiplication rule
211,conditional probability|pmf; pdf
212,geometric distribution|conditional probability
213,conditional probability|binomial distribution
214,exponential distribution|mode; median; percentiles
215,exponential distribution|insurance payments: deductible|mode; median; percentiles
216,poisson distribution|e/var/sd of loss and payment r.v.
217,poisson distribution|loss r.v. vs payment r.v. (limited loss)|e/var/sd of loss and payment r.v.
218,poisson distribution|conditional probability|expected value; moments
219,(continuous) uniform distribution|insurance payments: deductible|e/var/sd of loss and payment r.v.
220,(continuous) uniform distribution|expected value; moments|mode; median; percentiles
221,normal distribution|mode; median; percentiles
222,normal distribution|insurance payments: deductible|mode; median; percentiles
223,normal distribution|mode; median; percentiles
224,cdf|mode; median; percentiles|pmf; pdf
225,exponential distribution|variance; standard deviation
226,exponential distribution|insurance payments: deductible|e/var/sd of loss and payment r.v.
227,poisson distribution|conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)
228,poisson distribution|conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)
229,(continuous) uniform distribution|insurance payments: benefit limits|e/var/sd of loss and payment r.v.
230,(continuous) uniform distribution|insurance payments: deductible|e/var/sd of loss and payment r.v.
231,normal distribution|expected value; moments
232,expected value; moments|variance; standard deviation
233,hypergeometric distribution|conditional probability|variance; standard deviation
234,(continuous) uniform distribution|independent events
237,(continuous) uniform distribution|independent events
238,geometric distribution|joint pmf; joint cdf (discrete)
239,joint pmf; joint cdf (discrete)
240,bernoulli distribution|clt approximations for sums/linear combinations
241,clt approximations for sums/linear combinations|expected value; moments|variance; standard deviation
242,exponential distribution|bernoulli distribution|e/var/sd of loss and payment r.v.
243,(discrete) uniform distribution|random variables (discrete vs continuous)|expected value; moments
244,expected value; moments|joint pmf; joint cdf (discrete)
245,expected value; moments|variance; standard deviation
246,poisson distribution|conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)
247,marginal distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
248,random variables (discrete vs continuous)|covariance|expected value; moments
249,exponential distribution|order statistics (joint distribution)
250,linear combinations of independent normal r.v.’s|expected value; moments|variance; standard deviation
251,linear combinations of independent normal r.v.’s|normal distribution
252,coefficient of variation|variance; standard deviation
253,linear combinations of independent discrete r.v.’s|variance; standard deviation
254,poisson distribution|conditional distributions (discrete)|moments of joint/marginal/conditional (discrete)
255,e/var/sd of loss and payment r.v.|expected value; moments
256,exponential distribution|conditional probability|insurance payments: deductible
257,(continuous) uniform distribution|mode; median; percentiles
258,venn diagrams|set functions; axioms of probability
259,conditional probability|law of total probability
260,binomial distribution|poisson distribution
261,binomial distribution
262,binomial distribution|independent events
263,independent events|addition rule; multiplication rule
264,conditional probability|law of total probability|bayes theorem
265,bayes theorem|conditional probability|law of total probability
266,cdf|order statistics (joint distribution)|pmf; pdf
267,exponential distribution|conditional probability
268,binomial distribution|e/var/sd of loss and payment r.v.
269,normal distribution|linear combinations of independent normal r.v.’s
270,linear combinations of independent discrete r.v.’s|variance; standard deviation
274,conditional probability|law of total probability
284,covariance|pmf; pdf|variance; standard deviation
285,(continuous) uniform distribution|order statistics (joint distribution)
287,conditional probability|bayes theorem
288,bayes theorem|conditional probability|law of total probability
289,insurance payments: deductible|insurance payments: benefit limits|e/var/sd of loss and payment r.v.
290,clt approximations for sums/linear combinations|expected value; moments|variance; standard deviation
291,covariance|joint pmf; joint cdf (discrete)
292,marginal distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
293,joint pmf; joint cdf (discrete)|variance; standard deviation
294,expected value; moments|variance; standard deviation
295,bernoulli distribution|independent events
296,venn diagrams|addition rule; multiplication rule
297,cdf|pmf; pdf
298,clt approximations for sums/linear combinations|expected value; moments|variance; standard deviation
299,poisson distribution|linear combinations of independent discrete r.v.’s|expected value; moments
300,poisson distribution|linear combinations of independent discrete r.v.’s
301,covariance|variance; standard deviation
302,poisson distribution
303,geometric distribution
304,hypergeometric distribution|counting: combinations
305,poisson distribution|normal distribution|independent events
306,exponential distribution|bayes theorem|conditional probability
307,normal distribution|linear combinations of independent normal r.v.’s
308,bernoulli distribution|loss r.v. vs payment r.v. (limited loss)|e/var/sd of loss and payment r.v.
309,bayes theorem|law of total probability|conditional probability
310,insurance payments: deductible|insurance payments: benefit limits|pmf; pdf
311,moments of joint/marginal/conditional (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
312,conditional probability|addition rule; multiplication rule
313,independent events|addition rule; multiplication rule
314,bayes theorem|poisson distribution|law of total probability
315,normal distribution|independent events
316,bayes theorem|law of total probability|conditional probability
317,conditional probability|expected value; moments
318,bayes theorem|conditional probability|law of total probability
319,bernoulli distribution|independent events
320,clt approximations for sums/linear combinations|normal distribution
321,binomial distribution|pmf; pdf
322,negative binomial distribution|variance; standard deviation
323,independent events|addition rule; multiplication rule
324,poisson distribution|clt approximations for sums/linear combinations
325,venn diagrams|sample space and events|addition rule; multiplication rule
326,exponential distribution|expected value; moments|variance; standard deviation
327,normal distribution|linear combinations of independent normal r.v.’s
328,variance; standard deviation
329,bayes theorem|conditional probability|law of total probability
330,linear combinations of independent discrete r.v.’s|variance; standard deviation
331,sample space and events|venn diagrams|addition rule; multiplication rule
332,counting: combinations|addition rule; multiplication rule
333,hypergeometric distribution|counting: combinations
334,conditional probability|bayes theorem|law of total probability
335,hypergeometric distribution
336,insurance payments: deductible|(continuous) uniform distribution
337,insurance payments: deductible|exponential distribution|expected value; moments
338,conditional distributions (discrete)|expected value; moments|joint pmf; joint cdf (discrete)
339,binomial distribution|variance; standard deviation
340,conditional probability|pmf; pdf
341,conditional probability|pmf; pdf
342,poisson distribution|cdf|expected value; moments
343,random variables (discrete vs continuous)|expected value; moments|pmf; pdf
344,order statistics (joint distribution)|expected value; moments|pmf; pdf
345,linear combinations of independent normal r.v.’s|normal distribution
346,sample space and events|mutually exclusive events|addition rule; multiplication rule
347,marginal distributions (discrete)|variance/sd of marginal/conditional (discrete)|coefficient of variation
348,(continuous) uniform distribution|independent events|insurance payments: deductible
349,conditional probability|law of total probability
350,exponential distribution|insurance payments: benefit limits
351,independent events|bernoulli distribution
352,e/var/sd of loss and payment r.v.|insurance payments: benefit limits
353,conditional probability|pmf; pdf
354,conditional probability|addition rule; multiplication rule
355,poisson distribution
356,geometric distribution|conditional distributions (discrete)|joint pmf; joint cdf (discrete)
357,geometric distribution|conditional distributions (discrete)
358,poisson distribution|mode; median; percentiles
359,bayes theorem|conditional probability|law of total probability
360,conditional probability|law of total probability|expected value; moments
361,insurance payments: deductible|e/var/sd of loss and payment r.v.|expected value; moments
362,binomial distribution|clt approximations for sums/linear combinations
363,bayes theorem|conditional probability|law of total probability
364,exponential distribution|independent events
365,conditional probability|sample space and events
366,hypergeometric distribution
367,venn diagrams|set functions; axioms of probability
368,conditional probability|addition rule; multiplication rule
369,independent events|addition rule; multiplication rule
370,bayes theorem|conditional probability|law of total probability
371,normal distribution|cdf
372,normal distribution|exponential distribution|(continuous) uniform distribution
373,marginal distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
374,mode; median; percentiles|pmf; pdf
375,conditional probability|cdf|pmf; pdf
376,hypergeometric distribution|counting: combinations
377,conditional probability|bayes theorem
378,normal distribution|mode; median; percentiles
379,cdf|mode; median; percentiles|pmf; pdf
380,linear combinations of independent normal r.v.’s|normal distribution|expected value; moments
381,conditional probability|exponential distribution
382,hypergeometric distribution|conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)
383,cdf|mode; median; percentiles|pmf; pdf
384,cdf|mode; median; percentiles|pmf; pdf
385,exponential distribution|cdf
386,poisson distribution|expected value; moments
387,conditional probability|counting: combinations
388,exponential distribution|e/var/sd of loss and payment r.v.|loss r.v. vs payment r.v. (limited loss)
389,counting: permutations
390,gamma distribution|cdf
391,normal distribution|mode; median; percentiles
392,random variables (discrete vs continuous)|pmf; pdf
393,poisson distribution|mode; median; percentiles
394,mode; median; percentiles|pmf; pdf
395,pmf; pdf|mode; median; percentiles
396,insurance payments: deductible|mode; median; percentiles|pmf; pdf
397,mode; median; percentiles
398,conditional probability|bayes theorem|law of total probability
399,negative binomial distribution|binomial distribution|joint pmf; joint cdf (discrete)
400,joint pmf; joint cdf (discrete)
401,normal distribution|mode; median; percentiles
402,poisson distribution|independent events|expected value; moments
403,hypergeometric distribution|counting: combinations
404,marginal distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
405,counting: combinations|expected value; moments
406,binomial distribution|independent events
407,exponential distribution|variance; standard deviation
408,bayes theorem|conditional probability
409,random variables (discrete vs continuous)|cdf
410,linear combinations of independent discrete r.v.’s|joint pmf; joint cdf (discrete)
411,variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
412,(continuous) uniform distribution|order statistics (joint distribution)
413,negative binomial distribution|expected value; moments
414,hypergeometric distribution|counting: combinations
415,addition rule; multiplication rule|expected value; moments
416,poisson distribution|clt approximations for sums/linear combinations
417,negative binomial distribution|independent events
418,conditional probability|independent events
419,conditional probability|(continuous) uniform distribution
420,gamma distribution|pmf; pdf
421,exponential distribution|mode; median; percentiles
422,mutually exclusive events|addition rule; multiplication rule
423,conditional probability|sample space and events
424,counting: permutations|counting: combinations
425,poisson distribution|mode; median; percentiles
426,conditional probability|pmf; pdf
427,normal distribution
428,exponential distribution|cdf
429,cdf|mode; median; percentiles|pmf; pdf
430,exponential distribution|variance; standard deviation
431,independent events|linear combinations of independent normal r.v.’s
432,normal distribution
433,linear combinations of independent normal r.v.’s|independent events|normal distribution
434,poisson distribution
435,exponential distribution|expected value; moments|mode; median; percentiles
436,exponential distribution|conditional probability
437,sample space and events|addition rule; multiplication rule
438,counting: combinations|hypergeometric distribution
439,normal distribution|independent events|linear combinations of independent normal r.v.’s
440,exponential distribution|expected value; moments
441,(continuous) uniform distribution|variance; standard deviation
442,(continuous) uniform distribution|variance; standard deviation
443,random variables (discrete vs continuous)|expected value; moments|pmf; pdf
444,conditional distributions (discrete)|joint pmf; joint cdf (discrete)
445,venn diagrams|sample space and events|addition rule; multiplication rule
446,marginal distributions (discrete)|variance; standard deviation|joint pmf; joint cdf (discrete)
447,(continuous) uniform distribution|expected value; moments
448,(continuous) uniform distribution|independent events|order statistics (joint distribution)
449,joint pmf; joint cdf (discrete)
450,poisson distribution|coefficient of variation|linear combinations of independent discrete r.v.’s
451,exponential distribution|order statistics (joint distribution)|expected value; moments
452,normal distribution|linear combinations of independent normal r.v.’s
453,(continuous) uniform distribution|insurance payments: deductible|e/var/sd of loss and payment r.v.
454,insurance payments: deductible|(continuous) uniform distribution|conditional probability
455,bayes theorem|poisson distribution|conditional probability
456,hypergeometric distribution
457,conditional distributions (discrete)|law of total probability
458,linear combinations of independent discrete r.v.’s|variance; standard deviation
459,poisson distribution|clt approximations for sums/linear combinations
460,conditional probability|bayes theorem|law of total probability
461,poisson distribution|conditional probability
462,geometric distribution|conditional probability
463,poisson distribution|pmf; pdf
464,(continuous) uniform distribution|mode; median; percentiles|variance; standard deviation
465,exponential distribution
466,covariance|joint pmf; joint cdf (discrete)
467,expected value; moments|joint pmf; joint cdf (discrete)
468,conditional probability|law of total probability|bayes theorem
469,(continuous) uniform distribution|mode; median; percentiles|variance; standard deviation
470,geometric distribution|conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)
471,marginal distributions (discrete)|joint pmf; joint cdf (discrete)|variance; standard deviation
472,binomial distribution|independent events
473,(continuous) uniform distribution|insurance payments: deductible|e/var/sd of loss and payment r.v.
474,exponential distribution|expected value; moments
475,random variables (discrete vs continuous)|expected value; moments|pmf; pdf
476,conditional probability|joint pmf; joint cdf (discrete)
477,conditional probability|pmf; pdf
478,linear combinations of independent discrete r.v.’s|variance; standard deviation
479,(continuous) uniform distribution|variance; standard deviation
480,linear combinations of independent discrete r.v.’s|variance; standard deviation
481,(discrete) uniform distribution|expected value; moments
482,(continuous) uniform distribution|expected value; moments|variance; standard deviation
483,binomial distribution|variance; standard deviation
484,(continuous) uniform distribution|mode; median; percentiles
485,(continuous) uniform distribution|mode; median; percentiles
486,independent events|binomial distribution
487,conditional probability|addition rule; multiplication rule
488,negative binomial distribution
489,(continuous) uniform distribution|insurance payments: benefit limits|e/var/sd of loss and payment r.v.
490,conditional probability|independent events
491,cdf|expected value; moments|pmf; pdf
492,exponential distribution|cdf
493,conditional probability|joint pmf; joint cdf (discrete)
494,binomial distribution|variance; standard deviation
495,expected value; moments|pmf; pdf|variance; standard deviation
496,conditional probability|independent events|cdf
497,exponential distribution|order statistics (joint distribution)|expected value; moments
498,bayes theorem|conditional probability|law of total probability
499,conditional probability|poisson distribution
500,binomial distribution|counting: combinations
501,hypergeometric distribution|conditional probability
502,exponential distribution
503,geometric distribution
504,(continuous) uniform distribution|mode; median; percentiles
505,poisson distribution|linear combinations of independent discrete r.v.’s
506,conditional probability|bayes theorem
507,random variables (discrete vs continuous)|expected value; moments|pmf; pdf
508,cdf|mode; median; percentiles|pmf; pdf
509,normal distribution|linear combinations of independent normal r.v.’s
510,expected value; moments|joint pmf; joint cdf (discrete)
511,independent events|pmf; pdf
512,poisson distribution|expected value; moments
513,(continuous) uniform distribution|variance; standard deviation
514,expected value; moments|joint pmf; joint cdf (discrete)
515,insurance payments: benefit limits|pmf; pdf|mode; median; percentiles
516,beta distribution|cdf
517,marginal distributions (discrete)|joint pmf; joint cdf (discrete)|variance; standard deviation
518,poisson distribution|pmf; pdf
519,exponential distribution|expected value; moments|variance; standard deviation
520,conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
521,linear combinations of independent normal r.v.’s|normal distribution
522,exponential distribution|expected value; moments|mode; median; percentiles
523,normal distribution|mode; median; percentiles
524,venn diagrams|counting: combinations
525,conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
526,exponential distribution|clt approximations for sums/linear combinations
527,covariance|variance; standard deviation
528,conditional probability|addition rule; multiplication rule
529,poisson distribution|independent events
530,conditional probability|law of total probability|counting: combinations
531,independent events|mutually exclusive events|addition rule; multiplication rule
532,bayes theorem|conditional probability
533,hypergeometric distribution|conditional probability
534,poisson distribution|conditional probability|independent events
535,e/var/sd of loss and payment r.v.|variance; standard deviation
536,sample space and events|addition rule; multiplication rule
537,conditional probability|independent events
538,geometric distribution|mode; median; percentiles
539,linear combinations of independent normal r.v.’s|expected value; moments
540,conditional probability|bayes theorem
541,conditional probability|exponential distribution
542,linear combinations of independent discrete r.v.’s|variance; standard deviation
543,insurance payments: deductible|e/var/sd of loss and payment r.v.
544,conditional probability|law of total probability|random variables (discrete vs continuous)
545,exponential distribution|mode; median; percentiles
546,bayes theorem|conditional probability|law of total probability
547,bayes theorem|conditional probability|law of total probability
548,conditional probability|law of total probability
549,counting: permutations|sample space and events
550,counting: combinations
551,binomial distribution|insurance payments: benefit limits
552,(continuous) uniform distribution|mode; median; percentiles
553,exponential distribution|mode; median; percentiles
554,(continuous) uniform distribution|variance; standard deviation
555,normal distribution|linear combinations of independent normal r.v.’s
556,normal distribution|mode; median; percentiles
557,exponential distribution|variance; standard deviation
558,negative binomial distribution|independent events
559,exponential distribution|expected value; moments
560,exponential distribution|insurance payments: benefit limits
561,hypergeometric distribution|counting: combinations
562,(continuous) uniform distribution|conditional probability
563,exponential distribution|e/var/sd of loss and payment r.v.
564,exponential distribution|conditional probability|law of total probability
565,expected value; moments|pmf; pdf|variance; standard deviation
566,poisson distribution|conditional probability
567,binomial distribution|expected value; moments|variance; standard deviation
568,normal distribution|conditional probability|law of total probability
569,independent events|binomial distribution
570,hypergeometric distribution|counting: combinations
571,expected value; moments|pmf; pdf|variance; standard deviation
572,bayes theorem|conditional probability|poisson distribution
573,poisson distribution|coefficient of variation
574,marginal distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
575,normal distribution|linear combinations of independent normal r.v.’s
576,(continuous) uniform distribution|conditional probability
577,coefficient of variation|linear combinations of independent normal r.v.’s|variance; standard deviation
578,normal distribution|linear combinations of independent normal r.v.’s
579,random variables (discrete vs continuous)|conditional probability|pmf; pdf
580,linear combinations of independent discrete r.v.’s|variance; standard deviation
581,covariance|joint pmf; joint cdf (discrete)
582,variance; standard deviation
583,conditional probability|(continuous) uniform distribution
584,poisson distribution|linear combinations of independent discrete r.v.’s
585,conditional probability|pmf; pdf
586,insurance payments: deductible|insurance payments: coinsurance|exponential distribution
587,expected value; moments|pmf; pdf|variance; standard deviation
588,gamma distribution|variance; standard deviation
589,poisson distribution|insurance payments: deductible|expected value; moments
590,geometric distribution|addition rule; multiplication rule
591,normal distribution|cdf
592,binomial distribution|mode; median; percentiles
593,normal distribution|mode; median; percentiles
594,hypergeometric distribution|counting: combinations
595,(continuous) uniform distribution
596,normal distribution|variance; standard deviation
597,(continuous) uniform distribution|insurance payments: deductible|e/var/sd of loss and payment r.v.
598,normal distribution|expected value; moments|variance; standard deviation
599,exponential distribution|mode; median; percentiles
600,independent events|cdf|addition rule; multiplication rule
601,insurance payments: deductible|e/var/sd of loss and payment r.v.|pmf; pdf
602,sample space and events|pmf; pdf
603,conditional probability|poisson distribution|bayes theorem
604,poisson distribution|independent events|conditional probability
605,bayes theorem|law of total probability|exponential distribution
606,conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
607,sample space and events|cdf
608,binomial distribution|pmf; pdf
609,cdf|insurance payments: deductible
610,(continuous) uniform distribution|insurance payments: benefit limits|e/var/sd of loss and payment r.v.
611,cdf|mode; median; percentiles|pmf; pdf
612,exponential distribution|expected value; moments|mode; median; percentiles
613,poisson distribution|variance; standard deviation
614,normal distribution|linear combinations of independent normal r.v.’s
615,poisson distribution|cdf
616,(continuous) uniform distribution|(discrete) uniform distribution|variance; standard deviation
617,conditional distributions (discrete)|variance/sd of marginal/conditional (discrete)|joint pmf; joint cdf (discrete)
618,conditional probability|(continuous) uniform distribution
619,poisson distribution|expected value; moments|pmf; pdf
620,independent events|bernoulli distribution
621,exponential distribution|conditional probability
622,(continuous) uniform distribution|mode; median; percentiles|variance; standard deviation
623,normal distribution|mode; median; percentiles
624,normal distribution|linear combinations of independent normal r.v.’s
625,poisson distribution|conditional probability
626,poisson distribution|variance; standard deviation
627,conditional distributions (discrete)|expected value; moments|joint pmf; joint cdf (discrete)
628,random variables (discrete vs continuous)|expected value; moments|pmf; pdf
629,expected value; moments|pmf; pdf|variance; standard deviation
630,exponential distribution|insurance payments: deductible
631,conditional distributions (discrete)|joint pmf; joint cdf (discrete)
632,insurance payments: benefit limits|expected value; moments
633,poisson distribution|conditional distributions (discrete)
